,name,like,review,reply,min_del_price,menu_int,menu1,menu2,menu3,mean_price,info_int,runtime_wk(분),order,addr,rev_int,total_int,rate,event,location
0,24시 골목찌개집,1131,1199,1203,10000,7,13000,11000,31500,18500,19,9450,4000,서울시 강남구 삼성동 143-23,14,40,5,1,청담역
1,혼밥대왕 강남점,5934,2537,2574,6900,21,7400,8400,9400,8400,21,10080,26000,서울시 강남구 논현동 226,27,69,4.6,1,청담역
2,서울 김치찌개,1294,800,821,9000,5,9000,9000,9000,9000,5,10080,7000,서울시 강남구 삼성동 38-30,35,45,4.8,1,청담역
3,24시 팔당 충무김밥 국수,5083,875,873,12000,2,12500,16000,19000,15833,2,10080,11000,서울시 강남구 논현동 113-25,17,21,4.8,1,청담역
4,24시 선릉 백암 순대국밥 n 감자탕,1851,1180,1231,8000,15,9000,9000,10000,9333,24,10080,9000,서울시 강남구 대치동 900-24,42,81,4.8,1,청담역
5,소문난 1인정식,4568,1057,1076,10000,18,11000,13000,13000,12333,19,10080,12000,서울시 강남구 논현동 232-23,2,39,4.6,1,청담역
6,베트남 쌀국수 몬스터포Pho,1821,809,823,10000,5,11000,12000,8250,10417,11,10080,8000,서울시 강남구 논현동 230-1,9,25,4.8,1,청담역
7,족보잇는 국밥 밀면 딜리버리,3809,1427,1122,7000,17,7000,9000,18000,11333,13,7140,13000,서울시 강남구 역삼동 699-26,45,75,4.7,1,청담역
8,1인 꽃돼지 한식,5889,511,472,8000,16,8500,8000,25000,13833,16,10080,10000,서울시 강남구 역삼동 682-15,0,32,4.6,0,청담역
9,옥수동 묵은지 김치찜 논현점,1099,870,873,10000,10,23900,23900,21900,23233,11,8820,4000,서울시 강남구 논현동 214-23,11,32,4.8,1,청담역
10,쏘딜리셔스 키친,1439,548,563,8000,12,8500,8900,9900,9100,18,4620,3000,서울시 강남구 논현동 230-20,10,40,4.9,1,청담역
11,쭈블링 불맛직화쭈꾸미 강남점,3391,1754,1768,9500,19,9500,9500,23900,14300,14,8640,13000,서울시 강남구 논현동 226,14,47,4.8,1,청담역
12,바라는 죽&밥,1695,1125,1121,7000,20,17000,22000,12000,17000,31,3780,7000,서울시 강남구 삼성동 8-2,28,79,4.8,1,청담역
13,숯불고기 냉면,3415,1421,1447,13000,13,9000,9000,9000,9000,19,10080,17000,서울시 강남구 역삼동 674-13,10,42,4.7,1,청담역
14,1인용 이태원 부대찌개 & 김치찜,1664,687,690,3000,10,15500,16500,17500,16500,18,8400,6000,서울시 강남구 역삼동 700-21,40,68,4.8,1,청담역
15,AMW 오븐삼겹스테이크 & 돈까츠,1265,927,931,9500,6,9500,9500,9500,9500,6,10080,6000,서울시 강남구 논현동 226,2,14,4.8,1,청담역
16,온가솥밥 삼성점,690,364,366,8500,17,8500,10000,12000,10167,21,5460,2000,서울시 강남구 삼성동 170-11,16,54,4.9,1,청담역
17,고기듬뿍 대왕비빔밥 논현점,3194,849,850,8500,16,10500,9500,9500,9833,17,10080,8000,서울시 강남구 논현동 226,28,61,4.8,1,청담역
18,맛없으면 환불해주는 장군집,1445,214,215,20000,16,34500,34500,34500,34500,37,10080,2000,서울시 강남구 역삼동 704-6,31,84,4.9,1,청담역
19,한사바리 해장국,4187,2409,2219,9000,19,9000,10000,11000,10000,22,10080,18000,서울시 강남구 논현동 226,17,58,4.9,1,압구정역
20,명품숙성찌개&숯불삼겹,4384,2699,2787,8000,19,19450,16400,19450,18433,19,10080,16000,서울시 강남구 논현동 145-8,50,88,4.8,1,압구정역
21,대찌 대파 생고기김치찌개,1948,882,861,3000,16,21400,21400,21400,21400,16,10080,4000,서울시 강남구 논현동 126-8,52,84,4.9,1,압구정역
